Serial Number:20680157 --

"Date Time, GMT -0400","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","Stopped","EOF"
2019-09-26 05:10:00,69.45,0, , , , , 
2019-09-26 05:20:00,69.45,0, , , , , 
2019-09-26 05:30:00,69.37,0, , , , , 
2019-09-26 05:40:00,69.37,0, , , , , 
2019-09-26 05:50:00,69.45,0, , , , , 
2019-09-26 06:00:00,69.37,0, , , , , 
2019-09-26 06:10:00,69.37,0, , , , , 
2019-09-26 06:20:00,69.37,0, , , , , 
2019-09-26 06:30:00,69.37,0, , , , , 
2019-09-26 06:40:00,69.29,0, , , , , 
2019-09-26 06:50:00,69.29,0, , , , , 
2019-09-26 07:00:00,69.29,0, , , , , 
2019-09-26 07:10:00,69.22,0, , , , , 
2019-09-26 07:20:00,69.29,1, , , , , 
2019-09-26 07:30:00,69.29,1, , , , , 
2019-09-26 07:40:00,69.45,2, , , , , 
2019-09-26 07:50:00,69.52,4, , , , , 
2019-09-26 08:00:00,69.68,3, , , , , 
2019-09-26 08:10:00,69.76,6, , , , , 
2019-09-26 08:20:00,69.83,4, , , , , 
2019-09-26 08:30:00,69.83,9, , , , , 
2019-09-26 08:40:00,70.06,16, , , , , 
2019-09-26 08:50:00,70.30,15, , , , , 
2019-09-26 09:00:00,70.37,17, , , , , 
2019-09-26 09:10:00,70.53,19, , , , , 
2019-09-26 09:20:00,70.61,19, , , , , 
2019-09-26 09:30:00,70.45,22, , , , , 
2019-09-26 09:40:00,70.30,23, , , , , 
2019-09-26 09:50:00,70.37,25, , , , , 
2019-09-26 10:00:00,70.37,26, , , , , 
2019-09-26 10:10:00,70.14,31, , , , , 
2019-09-26 10:20:00,69.52,25, , , , , 
2019-09-26 10:30:00,69.14,24, , , , , 
2019-09-26 10:40:00,69.14,22, , , , , 
2019-09-26 10:50:00,68.91,14, , , , , 
2019-09-26 11:00:00,68.98,15, , , , , 
2019-09-26 11:10:00,69.37,23, , , , , 
2019-09-26 11:20:00,70.53,13, , , , , 
2019-09-26 11:30:00,70.06,14, , , , , 
2019-09-26 11:40:00,70.06,15, , , , , 
2019-09-26 11:50:00,70.14,15, , , , , 
2019-09-26 12:00:00,70.14,19, , , , , 
2019-09-26 12:10:00,70.22,10, , , , , 
2019-09-26 12:20:00,70.14,7, , , , , 
2019-09-26 12:30:00,70.14,13, , , , , 
2019-09-26 12:40:00,70.14,14, , , , , 
2019-09-26 12:50:00,70.14,19, , , , , 
2019-09-26 13:00:00,70.06,31, , , , , 
2019-09-26 13:10:00,70.14,48, , , , , 
2019-09-26 13:20:00,70.22,25, , , , , 
2019-09-26 13:30:00,69.91,25, , , , , 
2019-09-26 13:40:00,69.91,31, , , , , 
2019-09-26 13:50:00,69.91,31, , , , , 
2019-09-26 14:00:00,69.99,29, , , , , 
2019-09-26 14:10:00,70.14,49, , , , , 
2019-09-26 14:20:00,70.22,33, , , , , 
2019-09-26 14:30:00,69.99,31, , , , , 
2019-09-26 14:32:19, , ,Logged,Logged, , , 
2019-09-26 14:32:41, , , , ,Logged, , 
2019-09-26 14:32:46, , , , , ,Logged,Logged
