Serial Number:20680159 --

"Date Time, GMT -0400","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","Stopped","EOF"
2019-09-25 08:20:00,70.53,54, , , , , 
2019-09-25 08:30:00,70.61,63, , , , , 
2019-09-25 08:40:00,70.91,73, , , , , 
2019-09-25 08:50:00,71.22,84, , , , , 
2019-09-25 09:00:00,71.45,100, , , , , 
2019-09-25 09:10:00,72.15,138, , , , , 
2019-09-25 09:20:00,72.46,106, , , , , 
2019-09-25 09:30:00,72.84,174, , , , , 
2019-09-25 09:40:00,73.23,96, , , , , 
2019-09-25 09:50:00,72.92,93, , , , , 
2019-09-25 10:00:00,72.69,91, , , , , 
2019-09-25 10:10:00,72.61,90, , , , , 
2019-09-25 10:20:00,72.46,91, , , , , 
2019-09-25 10:30:00,72.23,91, , , , , 
2019-09-25 10:40:00,72.07,92, , , , , 
2019-09-25 10:50:00,71.92,94, , , , , 
2019-09-25 11:00:00,71.76,105, , , , , 
2019-09-25 11:10:00,71.69,95, , , , , 
2019-09-25 11:20:00,71.61,98, , , , , 
2019-09-25 11:30:00,71.53,94, , , , , 
2019-09-25 11:40:00,71.53,96, , , , , 
2019-09-25 11:50:00,70.99,96, , , , , 
2019-09-25 12:00:00,70.37,100, , , , , 
2019-09-25 12:10:00,70.14,99, , , , , 
2019-09-25 12:20:00,70.06,107, , , , , 
2019-09-25 12:30:00,70.14,109, , , , , 
2019-09-25 12:40:00,70.68,114, , , , , 
2019-09-25 12:50:00,71.15,110, , , , , 
2019-09-25 13:00:00,71.38,114, , , , , 
2019-09-25 13:10:00,71.61,113, , , , , 
2019-09-25 13:20:00,72.00,118, , , , , 
2019-09-25 13:30:00,72.30,120, , , , , 
2019-09-25 13:40:00,72.54,113, , , , , 
2019-09-25 13:50:00,72.77,123, , , , , 
2019-09-25 14:00:00,73.08,120, , , , , 
2019-09-25 14:10:00,73.08,120, , , , , 
2019-09-25 14:20:00,73.15,119, , , , , 
2019-09-25 14:30:00,73.15,121, , , , , 
2019-09-25 14:40:00,73.15,121, , , , , 
2019-09-25 14:50:00,73.23,122, , , , , 
2019-09-25 15:00:00,73.31,100, , , , , 
2019-09-25 15:10:00,73.46,141, , , , , 
2019-09-25 15:20:00,73.23,154, , , , , 
2019-09-25 15:30:00,73.23,143, , , , , 
2019-09-25 15:40:00,73.31,125, , , , , 
2019-09-25 15:50:00,73.39,117, , , , , 
2019-09-25 16:00:00,73.23,114, , , , , 
2019-09-25 16:10:00,73.23,109, , , , , 
2019-09-25 16:20:00,73.23,105, , , , , 
2019-09-25 16:30:00,73.31,100, , , , , 
2019-09-25 16:40:00,73.15,97, , , , , 
2019-09-25 16:50:00,73.00,94, , , , , 
2019-09-25 17:00:00,72.92,90, , , , , 
2019-09-25 17:10:00,72.77,88, , , , , 
2019-09-25 17:20:00,72.77,88, , , , , 
2019-09-25 17:30:00,72.77,91, , , , , 
2019-09-25 17:40:00,72.77,94, , , , , 
2019-09-25 17:50:00,72.84,96, , , , , 
2019-09-25 18:00:00,72.92,97, , , , , 
2019-09-25 18:10:00,72.92,97, , , , , 
