Serial Number:20680158 --

"Date Time, GMT -0400","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","Stopped","EOF"
2019-09-25 08:20:00,57.63,222, , , , , 
2019-09-25 08:30:00,56.01,238, , , , , 
2019-09-25 08:40:00,55.62,251, , , , , 
2019-09-25 08:50:00,55.62,262, , , , , 
2019-09-25 09:00:00,56.09,340, , , , , 
2019-09-25 09:10:00,59.33,429, , , , , 
2019-09-25 09:20:00,60.49,449, , , , , 
2019-09-25 09:30:00,63.19,811, , , , , 
2019-09-25 09:40:00,62.57,360, , , , , 
2019-09-25 09:50:00,61.88,336, , , , , 
2019-09-25 10:00:00,62.19,318, , , , , 
2019-09-25 10:10:00,62.57,302, , , , , 
2019-09-25 10:20:00,63.19,300, , , , , 
2019-09-25 10:30:00,63.66,299, , , , , 
2019-09-25 10:40:00,64.66,299, , , , , 
2019-09-25 10:50:00,65.59,310, , , , , 
2019-09-25 11:00:00,66.59,317, , , , , 
2019-09-25 11:10:00,67.05,305, , , , , 
2019-09-25 11:20:00,67.67,316, , , , , 
2019-09-25 11:30:00,68.21,303, , , , , 
2019-09-25 11:40:00,68.44,300, , , , , 
2019-09-25 11:50:00,69.06,298, , , , , 
2019-09-25 12:00:00,69.76,320, , , , , 
2019-09-25 12:10:00,70.37,307, , , , , 
2019-09-25 12:20:00,70.76,321, , , , , 
2019-09-25 12:30:00,71.53,320, , , , , 
2019-09-25 12:40:00,72.38,320, , , , , 
2019-09-25 12:50:00,72.84,321, , , , , 
2019-09-25 13:00:00,73.77,326, , , , , 
2019-09-25 13:10:00,74.31,325, , , , , 
2019-09-25 13:20:00,74.70,336, , , , , 
2019-09-25 13:30:00,75.24,343, , , , , 
2019-09-25 13:40:00,75.78,330, , , , , 
2019-09-25 13:50:00,76.09,331, , , , , 
2019-09-25 14:00:00,76.40,320, , , , , 
2019-09-25 14:10:00,76.71,321, , , , , 
2019-09-25 14:20:00,77.01,319, , , , , 
2019-09-25 14:30:00,77.25,330, , , , , 
2019-09-25 14:40:00,77.48,327, , , , , 
2019-09-25 14:50:00,77.71,333, , , , , 
2019-09-25 15:00:00,77.63,323, , , , , 
2019-09-25 15:10:00,78.17,429, , , , , 
2019-09-25 15:20:00,79.56,462, , , , , 
2019-09-25 15:30:00,79.95,454, , , , , 
2019-09-25 15:40:00,80.18,422, , , , , 
2019-09-25 15:50:00,80.41,364, , , , , 
2019-09-25 16:00:00,80.57,445, , , , , 
2019-09-25 16:10:00,80.41,339, , , , , 
2019-09-25 16:20:00,80.26,322, , , , , 
2019-09-25 16:30:00,79.95,316, , , , , 
2019-09-25 16:40:00,79.72,314, , , , , 
2019-09-25 16:50:00,79.41,311, , , , , 
2019-09-25 17:00:00,79.72,308, , , , , 
2019-09-25 17:10:00,80.10,308, , , , , 
2019-09-25 17:20:00,83.35,"1,562", , , , , 
2019-09-25 17:30:00,98.40,"2,161", , , , , 
2019-09-25 17:40:00,105.51,"1,928", , , , , 
2019-09-25 17:50:00,107.98,"1,696", , , , , 
2019-09-25 18:00:00,107.44,"1,496", , , , , 
2019-09-25 18:10:00,102.96,"1,263", , , , , 
2019-09-25 18:20:00,102.42,"1,016", , , , , 
2019-09-25 18:30:00,101.18,795, , , , , 
2019-09-25 18:40:00,98.10,460, , , , , 
