Serial Number:20680158 --

"Date Time, GMT -0400","Temp, (*F)","Intensity, ( lum/ft2)","Button Down","Button Up","Host Connect","Stopped","EOF"
2019-09-25 18:50:00,88.52,208, , , , , 
2019-09-25 19:00:00,81.57,67, , , , , 
2019-09-25 19:10:00,77.25,27, , , , , 
2019-09-25 19:20:00,74.70,8, , , , , 
2019-09-25 19:30:00,72.84,1, , , , , 
2019-09-25 19:40:00,71.61,0, , , , , 
2019-09-25 19:50:00,70.68,0, , , , , 
2019-09-25 20:00:00,69.76,0, , , , , 
2019-09-25 20:10:00,69.06,0, , , , , 
2019-09-25 20:20:00,68.83,0, , , , , 
2019-09-25 20:30:00,68.44,0, , , , , 
2019-09-25 20:40:00,67.83,0, , , , , 
2019-09-25 20:50:00,66.67,0, , , , , 
2019-09-25 21:00:00,65.97,0, , , , , 
2019-09-25 21:10:00,65.66,0, , , , , 
2019-09-25 21:20:00,65.89,0, , , , , 
2019-09-25 21:30:00,65.66,0, , , , , 
2019-09-25 21:40:00,64.74,0, , , , , 
2019-09-25 21:50:00,64.35,0, , , , , 
2019-09-25 22:00:00,63.66,0, , , , , 
2019-09-25 22:10:00,62.96,0, , , , , 
2019-09-25 22:20:00,62.88,0, , , , , 
2019-09-25 22:30:00,62.50,0, , , , , 
2019-09-25 22:40:00,61.80,0, , , , , 
2019-09-25 22:50:00,62.42,0, , , , , 
2019-09-25 23:00:00,63.42,0, , , , , 
2019-09-25 23:10:00,63.27,0, , , , , 
2019-09-25 23:20:00,62.65,0, , , , , 
2019-09-25 23:30:00,62.11,0, , , , , 
2019-09-25 23:40:00,62.03,0, , , , , 
2019-09-25 23:50:00,62.65,0, , , , , 
2019-09-26 00:00:00,61.42,0, , , , , 
2019-09-26 00:10:00,60.80,0, , , , , 
2019-09-26 00:20:00,60.34,0, , , , , 
2019-09-26 00:30:00,59.95,0, , , , , 
2019-09-26 00:40:00,59.49,0, , , , , 
2019-09-26 00:50:00,59.64,0, , , , , 
2019-09-26 01:00:00,59.49,0, , , , , 
2019-09-26 01:10:00,59.33,0, , , , , 
2019-09-26 01:20:00,59.02,0, , , , , 
2019-09-26 01:30:00,58.64,0, , , , , 
2019-09-26 01:40:00,58.71,0, , , , , 
2019-09-26 01:50:00,60.10,0, , , , , 
2019-09-26 02:00:00,59.87,0, , , , , 
2019-09-26 02:10:00,59.72,0, , , , , 
2019-09-26 02:20:00,59.64,0, , , , , 
2019-09-26 02:30:00,59.41,0, , , , , 
2019-09-26 02:40:00,58.79,0, , , , , 
2019-09-26 02:50:00,58.48,0, , , , , 
2019-09-26 03:00:00,58.40,0, , , , , 
2019-09-26 03:10:00,58.64,0, , , , , 
2019-09-26 03:20:00,58.71,0, , , , , 
2019-09-26 03:30:00,58.56,0, , , , , 
2019-09-26 03:40:00,58.10,0, , , , , 
2019-09-26 03:50:00,58.25,0, , , , , 
2019-09-26 04:00:00,58.95,0, , , , , 
2019-09-26 04:10:00,60.80,0, , , , , 
2019-09-26 04:20:00,61.03,0, , , , , 
2019-09-26 04:30:00,60.41,0, , , , , 
2019-09-26 04:40:00,59.87,0, , , , , 
2019-09-26 04:50:00,59.49,0, , , , , 
2019-09-26 05:00:00,59.02,0, , , , , 
2019-09-26 05:10:00,58.79,0, , , , , 
2019-09-26 05:20:00,58.64,0, , , , , 
2019-09-26 05:30:00,58.17,0, , , , , 
2019-09-26 05:40:00,58.25,0, , , , , 
2019-09-26 05:50:00,58.25,0, , , , , 
2019-09-26 06:00:00,57.86,0, , , , , 
2019-09-26 06:10:00,57.94,0, , , , , 
2019-09-26 06:20:00,57.94,0, , , , , 
2019-09-26 06:30:00,58.25,0, , , , , 
2019-09-26 06:40:00,58.79,0, , , , , 
2019-09-26 06:50:00,59.18,0, , , , , 
2019-09-26 07:00:00,59.10,2, , , , , 
2019-09-26 07:10:00,58.64,11, , , , , 
2019-09-26 07:20:00,58.56,31, , , , , 
2019-09-26 07:30:00,58.48,60, , , , , 
2019-09-26 07:40:00,58.87,93, , , , , 
2019-09-26 07:50:00,59.41,150, , , , , 
2019-09-26 08:00:00,60.72,187, , , , , 
2019-09-26 08:10:00,61.96,380, , , , , 
2019-09-26 08:20:00,62.03,185, , , , , 
2019-09-26 08:30:00,61.72,217, , , , , 
2019-09-26 08:40:00,62.65,254, , , , , 
2019-09-26 08:50:00,64.81,347, , , , , 
2019-09-26 09:00:00,65.35,286, , , , , 
2019-09-26 09:10:00,65.97,297, , , , , 
2019-09-26 09:20:00,66.67,309, , , , , 
2019-09-26 09:30:00,67.36,322, , , , , 
2019-09-26 09:40:00,68.13,349, , , , , 
2019-09-26 09:50:00,69.22,491, , , , , 
2019-09-26 10:00:00,71.38,570, , , , , 
2019-09-26 10:10:00,73.62,738, , , , , 
2019-09-26 10:20:00,77.01,799, , , , , 
2019-09-26 10:30:00,77.94,601, , , , , 
2019-09-26 10:40:00,79.49,"1,036", , , , , 
2019-09-26 10:50:00,79.25,552, , , , , 
2019-09-26 11:00:00,77.56,621, , , , , 
2019-09-26 11:10:00,78.10,674, , , , , 
2019-09-26 11:20:00,77.79,384, , , , , 
2019-09-26 11:30:00,76.94,312, , , , , 
2019-09-26 11:40:00,76.86,331, , , , , 
2019-09-26 11:50:00,77.25,326, , , , , 
2019-09-26 12:00:00,77.94,410, , , , , 
2019-09-26 12:10:00,78.56,331, , , , , 
2019-09-26 12:20:00,78.87,287, , , , , 
2019-09-26 12:30:00,79.64,570, , , , , 
2019-09-26 12:40:00,81.26,631, , , , , 
2019-09-26 12:50:00,82.73,629, , , , , 
2019-09-26 13:00:00,83.81,717, , , , , 
2019-09-26 13:10:00,84.58,786, , , , , 
2019-09-26 13:20:00,85.05,647, , , , , 
2019-09-26 13:30:00,82.27,626, , , , , 
2019-09-26 13:40:00,84.81,"1,215", , , , , 
2019-09-26 13:50:00,86.67,756, , , , , 
2019-09-26 14:00:00,84.89,528, , , , , 
2019-09-26 14:10:00,85.97,"1,059", , , , , 
2019-09-26 14:20:00,87.52,676, , , , , 
2019-09-26 14:30:00,86.67,836, , , , , 
2019-09-26 14:31:11, , ,Logged,Logged, , , 
2019-09-26 14:31:15, , , , ,Logged, , 
2019-09-26 14:31:26, , , , , ,Logged,Logged
